75,"(0.025627615062761455, 0.026673640167363954, -0.01882845188284521)",2006-08-29 09:45:00,2006-09-05 09:30:00
100,"(0.07217573221757312, 0.07217573221757312, -0.01882845188284521)",2006-08-29 09:45:00,2006-09-06 14:15:00
150,"(0.013075313807531463, 0.11506276150627626, -0.01882845188284521)",2006-08-29 09:45:00,2006-09-12 09:30:00
25,"(0.022631578947368336, 0.023684210526315752, -0.002105263157894721)",2006-09-01 09:30:00,2006-09-04 14:00:00
50,"(0.06894736842105265, 0.0742105263157895, -0.002105263157894721)",2006-09-01 09:30:00,2006-09-06 10:45:00
75,"(0.11052631578947358, 0.12210526315789472, -0.002105263157894721)",2006-09-01 09:30:00,2006-09-08 09:15:00
100,"(0.037368421052631495, 0.12210526315789472, -0.002105263157894721)",2006-09-01 09:30:00,2006-09-11 14:00:00
150,"(0.002631578947368318, 0.12210526315789472, -0.007894736842105288)",2006-09-01 09:30:00,2006-09-15 09:15:00
25,"(0.014485256078634157, 0.015519917227108104, -0.0103466114847387)",2006-09-01 11:15:00,2006-09-05 09:30:00
50,"(0.06052767718572172, 0.06052767718572172, -0.0103466114847387)",2006-09-01 11:15:00,2006-09-06 14:15:00
75,"(0.05225038799793058, 0.10294878427315046, -0.0103466114847387)",2006-09-01 11:15:00,2006-09-08 11:00:00
100,"(0.0020693222969476732, 0.10294878427315046, -0.02224521469218832)",2006-09-01 11:15:00,2006-09-12 09:30:00
150,"(-0.005690636316606268, 0.10294878427315046, -0.024831867563372967)",2006-09-01 11:15:00,2006-09-15 11:00:00
25,"(0.0019550342130987275, 0.0058651026392961825, -0.003910068426197455)",2006-12-13 09:45:00,2006-12-14 14:15:00
50,"(0.0024437927663734094, 0.011730205278592365, -0.003910068426197455)",2006-12-13 09:45:00,2006-12-18 11:00:00
75,"(0.0029325513196480912, 0.011730205278592365, -0.003910068426197455)",2006-12-13 09:45:00,2006-12-20 09:30:00
100,"(0.004887585532746819, 0.011730205278592365, -0.003910068426197455)",2006-12-13 09:45:00,2006-12-21 14:15:00
150,"(-0.008308895405669592, 0.011730205278592365, -0.021505376344086002)",2006-12-13 09:45:00,2006-12-27 09:30:00
25,"(0.011669203450025423, 0.0365296803652968, -0.0010147133434804667)",2007-04-09 09:30:00,2007-04-10 14:00:00
50,"(0.005580923389142622, 0.0365296803652968, -0.0015220700152207556)",2007-04-09 09:30:00,2007-04-12 10:45:00
75,"(0.009132420091324311, 0.0365296803652968, -0.0015220700152207556)",2007-04-09 09:30:00,2007-04-16 09:15:00
100,"(0.00963977676306449, 0.0365296803652968, -0.0015220700152207556)",2007-04-09 09:30:00,2007-04-17 14:00:00
150,"(0.027397260273972712, 0.0365296803652968, -0.0015220700152207556)",2007-04-09 09:30:00,2007-04-23 09:15:00
25,"(0.00302571860816947, 0.030257186081694476, -0.004538577912254205)",2007-04-09 11:00:00,2007-04-11 09:15:00
50,"(0.0035300050428643814, 0.030257186081694476, -0.0075642965204235635)",2007-04-09 11:00:00,2007-04-12 14:00:00
75,"(0.0020171457387796465, 0.030257186081694476, -0.0075642965204235635)",2007-04-09 11:00:00,2007-04-16 10:45:00
100,"(0.016641452344931862, 0.030257186081694476, -0.0075642965204235635)",2007-04-09 11:00:00,2007-04-18 09:15:00
150,"(0.017145738779626774, 0.030257186081694476, -0.0075642965204235635)",2007-04-09 11:00:00,2007-04-23 10:45:00
25,"(-0.025653675382338426, 0.007893438579181122, -0.029107054760730167)",2007-04-10 10:00:00,2007-04-11 14:30:00
50,"(-0.021213616181549044, 0.007893438579181122, -0.029107054760730167)",2007-04-10 10:00:00,2007-04-13 11:15:00
75,"(-0.014800197335964493, 0.007893438579181122, -0.029107054760730167)",2007-04-10 10:00:00,2007-04-17 09:45:00
100,"(-0.0024666995559941007, 0.007893438579181122, -0.029107054760730167)",2007-04-10 10:00:00,2007-04-18 14:30:00
150,"(-0.0019733596447952806, 0.007893438579181122, -0.029107054760730167)",2007-04-10 10:00:00,2007-04-24 09:45:00
25,"(-0.010115606936416222, 0.00674373795761074, -0.016377649325626242)",2007-05-08 09:30:00,2007-05-09 14:00:00
50,"(-0.011560693641618491, 0.00674373795761074, -0.019749518304431612)",2007-05-08 09:30:00,2007-05-11 10:45:00
75,"(-0.024566473988439252, 0.00674373795761074, -0.025529865125240803)",2007-05-08 09:30:00,2007-05-15 09:15:00
100,"(-0.029865125240847834, 0.00674373795761074, -0.034200385356454754)",2007-05-08 09:30:00,2007-05-16 14:00:00
150,"(-0.025048169556840083, 0.00674373795761074, -0.048651252408477896)",2007-05-08 09:30:00,2007-05-22 09:15:00
25,"(-0.000508130081300795, 0.0060975609756097615, -0.0060975609756097615)",2007-07-20 14:15:00,2007-07-24 10:45:00
